,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
50,@Uverse here I come https://t.co/O5fH6oifuj,FALSE,0,Uverse,10/14/2016 6:13,FALSE,NA,7.86812E+17,398037232,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",coop32881,0,FALSE,FALSE,NA,NA
51,"RT @Uverse: Time travel, capes and so many superpowers. Action + adventure await on @TheCW_Legends at 8/7c. https://t.co/cRSsci4yfk",FALSE,0,NA,10/13/2016 22:33,FALSE,NA,7.86696E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TimeTravelNexus,1,TRUE,FALSE,NA,NA
52,"RT @Uverse: @bexsefter We like you, too! https://t.co/CpXtntMSdo",FALSE,0,NA,10/13/2016 21:01,FALSE,NA,7.86673E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bexkellys,1,TRUE,FALSE,NA,NA
53,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+0093> or <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>? Catch the premiere of #BenandLauren on @FreeformTV? Tune in next week at 8/7c to see if the fairy tale continued after…,FALSE,0,NA,10/13/2016 18:11,FALSE,NA,7.8663E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MackenzieMudds,3,TRUE,FALSE,NA,NA
54,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+0093> or <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>? Catch the premiere of #BenandLauren on @FreeformTV? Tune in next week at 8/7c to see if the fairy tale continued after…,FALSE,0,NA,10/13/2016 15:38,FALSE,NA,7.86592E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",siredtodramione,3,TRUE,FALSE,NA,NA
55,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+0093> or <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>? Catch the premiere of #BenandLauren on @FreeformTV? Tune in next week at 8/7c to see if the fairy tale continued after…,FALSE,0,NA,10/13/2016 15:34,FALSE,NA,7.86591E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FreeformTV,3,TRUE,FALSE,NA,NA
56,"@ivertonjones @SASpurs5 @NBATV About time! Same, don't understand how they weren't all on LP. Internet has been down week tho, @ATT @Uverse",FALSE,1,ivertonjones,10/13/2016 13:56,FALSE,7.86565E+17,7.86566E+17,62572478,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JT_Reagan,0,FALSE,FALSE,NA,NA
57,"Who else is having slow speed, slow uploads with @ATT @Uverse  in Dallas?",FALSE,2,NA,10/13/2016 3:59,FALSE,NA,7.86416E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DallasDrilling,0,FALSE,FALSE,NA,NA
58,I left @Uverse internet to @DIRECTV because they suck! Now direct tv is owned by ATT and it keeps loosing signal! #wtf,FALSE,0,NA,10/13/2016 2:09,FALSE,NA,7.86388E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UncleVic13,0,FALSE,FALSE,NA,NA
59,"Hey @Uverse your tech support is the worst I've ever exp. 75 min on phone, no solution, tech schedule for Sat. #inexcusable",FALSE,1,NA,10/13/2016 1:18,FALSE,NA,7.86376E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CowtownTiger,1,FALSE,FALSE,NA,NA
60,@Uverse MY WIFI Is DOWN AGAIN!This is UNACCEPTABLE! A Couple times a MNTH IS NOT GOOD! WHY AM I HAVING THESE PROBLEMS!I pay On time!! WHY?,FALSE,0,Uverse,10/12/2016 23:26,FALSE,NA,7.86347E+17,398037232,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ed007jamesbond,0,FALSE,FALSE,NA,NA
61,@ColinHuseman @Uverse always gotta watch out for the tricks smh,FALSE,0,ColinHuseman,10/12/2016 20:57,FALSE,7.86303E+17,7.8631E+17,277349816,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sir_McGowen,0,FALSE,FALSE,NA,NA
62,So @TWC changes name to @GetSpectrum and my bill is $20 more per month? No thanks... Give me some @Uverse in #uptown #dallas please...,FALSE,1,NA,10/12/2016 3:58,FALSE,NA,7.86053E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alison_pruett,0,FALSE,FALSE,NA,NA
63,"RT @Uverse: Get ready, for @GaryOwenBET tonight. The series premiere starts at 9:30/8:30c. https://t.co/pdSOutmDBw",FALSE,0,NA,10/11/2016 22:03,FALSE,NA,7.85964E+17,NA,"<a href=""http://socialchorus.com"" rel=""nofollow"">SocialChorus</a>",RecruitingWhiz,4,TRUE,FALSE,NA,NA
64,"RT @Uverse: Get ready, for @GaryOwenBET tonight. The series premiere starts at 9:30/8:30c. https://t.co/pdSOutmDBw",FALSE,0,NA,10/11/2016 21:36,FALSE,NA,7.85957E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GaryOwenBET,4,TRUE,FALSE,NA,NA
65,RT @Uverse: Say <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> to the #RealHusbandsOfHollywood. Don't miss the men on tonight's premiere at 9/8c on @BET. https://t.co/ewxYs4Bnpm,FALSE,0,NA,10/11/2016 21:23,FALSE,NA,7.85954E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DallasSingleMom,2,TRUE,FALSE,NA,NA
66,"RT @Uverse: Get ready, for @GaryOwenBET tonight. The series premiere starts at 9:30/8:30c. https://t.co/pdSOutmDBw",FALSE,0,NA,10/11/2016 21:17,FALSE,NA,7.85953E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ronniesovicious,4,TRUE,FALSE,NA,NA
67,"RT @Uverse: Get ready, for @GaryOwenBET tonight. The series premiere starts at 9:30/8:30c. https://t.co/pdSOutmDBw",FALSE,0,NA,10/11/2016 21:00,FALSE,NA,7.85948E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BET,4,TRUE,FALSE,NA,NA
