,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
40,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/16/2016 23:38,FALSE,NA,7.878E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",InsanityCause,20,TRUE,FALSE,NA,NA
41,@DIRECTV @DIRECTVService I'm just trying to catch the Cowboys game.. WHY IS THIS HAPPENING? https://t.co/943QJfifjs,FALSE,0,DIRECTV,10/16/2016 20:56,FALSE,NA,7.87759E+17,14946736,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Fonzy41,0,FALSE,FALSE,NA,NA
42,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 20:51,FALSE,NA,7.87758E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",GatoradeMVP,117,TRUE,FALSE,NA,NA
43,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 20:34,FALSE,NA,7.87754E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",saldana_thomas,117,TRUE,FALSE,NA,NA
44,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 20:23,FALSE,NA,7.87751E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cultivater416,117,TRUE,FALSE,NA,NA
45,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 19:43,FALSE,NA,7.87741E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FernandaFernadz,117,TRUE,FALSE,NA,NA
46,@ATT @DIRECTV the quality of this Dolphins Steelers game on sunday ticket looks like a bad internet stream,FALSE,0,ATT,10/16/2016 19:38,FALSE,NA,7.8774E+17,14620190,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MainiacPhinFan,0,FALSE,FALSE,NA,NA
47,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 19:08,FALSE,NA,7.87732E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",barbarabeadle74,117,TRUE,FALSE,NA,NA
48,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 18:37,FALSE,NA,7.87724E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",_Zachary_Daniel,117,TRUE,FALSE,NA,NA
49,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 18:20,FALSE,NA,7.8772E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JayrockJenkins,117,TRUE,FALSE,NA,NA
50,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:50,FALSE,NA,7.87712E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GaiaxyLoryn,117,TRUE,FALSE,NA,NA
51,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:45,FALSE,NA,7.87711E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TSPtheMBA563,117,TRUE,FALSE,NA,NA
52,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:44,FALSE,NA,7.87711E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jc98ramirez,117,TRUE,FALSE,NA,NA
53,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:37,FALSE,NA,7.87709E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",OneSpunky1,117,TRUE,FALSE,NA,NA
54,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:14,FALSE,NA,7.87703E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VanessaC83,117,TRUE,FALSE,NA,NA
55,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:10,FALSE,NA,7.87702E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",stefybeautiful,117,TRUE,FALSE,NA,NA
56,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:03,FALSE,NA,7.87701E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DatKid_Troy,117,TRUE,FALSE,NA,NA
57,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 17:02,FALSE,NA,7.877E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",thykidrauhl,117,TRUE,FALSE,NA,NA
58,"Hey @ATT and @DIRECTV: I've tried for four months to bundle billing. You said it was done. It's not. Dozen calls later, no help. What's up?",FALSE,3,NA,10/16/2016 16:59,FALSE,NA,7.87699E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",davetarrantnews,0,FALSE,FALSE,NA,NA
59,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:54,FALSE,NA,7.87698E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CASMF,117,TRUE,FALSE,NA,NA
60,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:47,FALSE,NA,7.87697E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RaulDuranDomin1,117,TRUE,FALSE,NA,NA
61,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:46,FALSE,NA,7.87696E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",louiss_101,117,TRUE,FALSE,NA,NA
62,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:35,FALSE,NA,7.87693E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tresjhawn,117,TRUE,FALSE,NA,NA
63,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:33,FALSE,NA,7.87693E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kierynurey,117,TRUE,FALSE,NA,NA
64,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:23,FALSE,NA,7.8769E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aagree7,117,TRUE,FALSE,NA,NA
65,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:12,FALSE,NA,7.87688E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_Deedollas,117,TRUE,FALSE,NA,NA
66,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:11,FALSE,NA,7.87687E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CURTIS_COLONS,117,TRUE,FALSE,NA,NA
67,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:09,FALSE,NA,7.87687E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IvanRos99231204,117,TRUE,FALSE,NA,NA
68,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:08,FALSE,NA,7.87687E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MD_noahS,117,TRUE,FALSE,NA,NA
69,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:08,FALSE,NA,7.87687E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VeronicaSusanne,117,TRUE,FALSE,NA,NA
70,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:06,FALSE,NA,7.87686E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vincesaiz2473,117,TRUE,FALSE,NA,NA
71,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 16:01,FALSE,NA,7.87685E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dontelmartinez1,117,TRUE,FALSE,NA,NA
72,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 15:58,FALSE,NA,7.87684E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sanjayrsinghal,117,TRUE,FALSE,NA,NA
73,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 15:55,FALSE,NA,7.87684E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",T_Brewer9,117,TRUE,FALSE,NA,NA
74,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 15:54,FALSE,NA,7.87683E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kesha360,117,TRUE,FALSE,NA,NA
75,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 15:54,FALSE,NA,7.87683E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TrevorCagle1,117,TRUE,FALSE,NA,NA
76,"RT @dallascowboys: Watch #DALvsGB LIVE using @DIRECTV's Sunday Ticket! 

Sign up here: https://t.co/6cXPFIcqFd https://t.co/sE6PSc3gBl",FALSE,0,NA,10/16/2016 15:54,FALSE,NA,7.87683E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Rynebair88,117,TRUE,FALSE,NA,NA
